Name,Gender,Status,URL,History
Player 181,Male,Dead,https://squid-game.fandom.com/wiki/Player_181_(33rd_Squid_Game),"Player 181 was in a heavy debt and chose to enter a high risk competition to win money, After waking up in a large room with 455 other people, he signed a contract and took his photo. He managed to survive Red Light, Green Light . After most of the contestants had wiped out, Afterwards like everyone else, he was shaken by the deaths of the contestants and the prize money was revealed and the vote was held if the games should continue, he voted O but the majority voted X however those who were willing to return could, He returned along with 186 players. He then managed to survive Sugar Honeycombs ."
Player 235,Male,Alive,https://squid-game.fandom.com/wiki/Player_235_(2024),"Player 235 passes the first three games offscreen, the first time we see him, he's sitting on top of a bed while the X and O's are fighting, he's then seen while Player 100 is doing the headcount, then he's in the background while the rebellion is starting, so he will be alive in season 3."
Player 342 (33rd Squid Game),Female,Dead,https://squid-game.fandom.com/wiki/Player_342_(33rd_Squid_Game),"Player 342 was in high debt, so she decided to enter the Squid Game. She woke up in a room with 455 others Players. She then signed her contract, took her photo and was taken to the 1st game, during Red Light, Green Light , while everyone was panicking to the doors, this player stayed still and survived the inital chaos."
Jang Geum-ja,Female,Alive,https://squid-game.fandom.com/wiki/Jang_Geum-ja,"Born sometime in the 1940s, Jang Geum-ja survived the Korean War during her childhood. She got married to an unnamed man and had a son named Park Yong-sik . Her marriage was an unfaithful one, however, as her husband had a steady extramarital affair."
Seong Ga-yeong,Female,Alive,https://squid-game.fandom.com/wiki/Seong_Ga-yeong,"Ga-yeong was born on June 8, 2011, to her mother who had collapsed in labor before taking herself to the hospital where Ga-yeong was born. Albeit without the presence of her deadbeat spouse, Seong Gi-hun, who was holding up in Dragon Motors during a violent strike around that time."
Kim Gi-min,Male,Alive,https://squid-game.fandom.com/wiki/Kim_Gi-min,"Like almost all the other players, Kim Gi-min fell into heavy debt, and at some point in 2024 he was presumably encountered by the recruiter and played ddakji, where he received a card and decided to join the games . He then managed to survive Red Light, Green Light , Six-Legged Pentathlon and Mingle , all while voting 'O' to continue the games."
Kim Yeong-sam,Male,Alive,https://squid-game.fandom.com/wiki/Kim_Yeong-sam,"Kim Yeong-sam had ₩1.9 billion worth of debt and chose to enter the Squid Games in order to win large amounts of money . When his name and his debt were shown by the Manager in the third episode, he didn't like it."
Player 284 (33rd Squid Game),Male,Dead,https://squid-game.fandom.com/wiki/Player_284_(33rd_Squid_Game),"Player 284 was in heavy debt and chose to enter a high-risk competition to win money. After waking up in a large room with 455 other people, he signed a contract and took his photo."
Player 191,Male,Alive,https://squid-game.fandom.com/wiki/Player_191_(2024),Player 191 like many others fell into a large amount of debt and with no way to pay it off he entered the 2024 Squid Game . He is currently still alive and is on the Red Team in the Unknown 4th game .
Kang Dae-ho,Male,Alive,https://squid-game.fandom.com/wiki/Kang_Dae-ho,"Dae-ho grew up around four elder sisters and spent most of his time playing games with them, leading to him being an expert in things considered 'girly' by societal standards. His father forced Dae-ho into the military in an attempt to counteract this, so he joined the Republic of Korea Marine Corps , where he was part of Class 1140."
Player 392 (33rd Squid Game),Male,Dead,https://squid-game.fandom.com/wiki/Player_392_(33rd_Squid_Game),"Player 392 was in a heavy debt and chose to enter a high risk competition to win money, After waking up in a large room with 455 other people, he signed a contract and took his photo. He then entered Red Light Green Light ."
Player 233,Female,Dead,https://squid-game.fandom.com/wiki/Player_233_(33rd_Squid_Game),"After incurring large amounts of debt, Player 233 decided to join the Squid Games in order to win money. She was picked up and sedated by Squid Game staff and taken to the island where the games take place. After waking up, she can be seen walking past Seong Gi-hun and Oh Il-nam in the Squid Game lobby as they converse."
Player 340,Female,Dead,https://squid-game.fandom.com/wiki/Player_340_(2024),"Player 340 is a young woman with straight, medium-length dark brown hair that falls just past her shoulders. Her hair is worn loose and parted slightly off-center."
Broker,Male,Alive,https://squid-game.fandom.com/wiki/Broker,"Little is known about his early life prior to becoming a broker, but he later met Kang Sae-byeok when he started working with her to free her mother from North Korea."
Chief Kim,Male,Alive,https://squid-game.fandom.com/wiki/Chief_Kim,"After Hwang Jun-ho escapes the island and calls his chief, he picks up and yells, asking where he has been. Jun-ho begs him to send a police backup to his location, but he is unable to decipher his words due to the call breaking up."
Player 005,Female,Dead,https://squid-game.fandom.com/wiki/Player_005_(2024),"Player 005 was likely in heavy debt and decided to join the games to pay it off. After she woke up in a room with 455 other players , she signed her contract and took her photo. After that, she was led to the first game, Red Light, Green Light ."
Player 373 (2024),Female,Dead,https://squid-game.fandom.com/wiki/Player_373_(2024),"Player 373 is a woman in her 30s-40s with a brown bun hairstyle. She joined the Squid Game to help pay off her large amount of debt. In the dormitory, she could be seen watching Jang Geum-ja rush to Park Yong-sik , appearing shocked at their reunion. It is unknown if she died in the chaos of the first game as her icon never fades with her likely dying as one the final deaths during fhe first game. Her appearance in Mingle is an error as she is seen as a male."
Lee Seung-won,Male,Alive,https://squid-game.fandom.com/wiki/Lee_Seung-won,"Lee Seung-won joined the Squid Games to pay of his debts like everybody else. He was able to survive the 1st game, Red Light, Green Light , and was shaken by the death of the players. It is unknown what he voted for, but he most likely he voted for O ."
Player 310,Female,Alive,https://squid-game.fandom.com/wiki/Player_310_(2024),Player 310 is one of the participants of the 2024 edition of The Squid Game.
Jang Deok-su,Male,Dead,https://squid-game.fandom.com/wiki/Jang_Deok-su,"At some point in his life, Deok-su fell into bad standings with his criminal boss in Incheon and accumulates large gambling debts with loan sharks from the Philippines. He agrees to enter the Squid Game to escape those pursuing him and to win enough money to pay his debts. Following the vote to end the games after the first round, he plots to infiltrate the Games and steal the prize money, so he tries to assemble a crew outside, but his reputation is so badly damaged that he is unable to do so and therefore he has no other choice but to return to the games. [ 6 ]"
Player 306,Male,Alive,https://squid-game.fandom.com/wiki/Player_306_(2024),"Having accumulated large debts, Player 306 decided to participate in the Squid Games. He managed to survive the first game Red Light, Green Light and win the second game Six-Legged Pentathlon with his team."
Player 279 (2024),Male,Dead,https://squid-game.fandom.com/wiki/Player_279_(2024),"Player 279 is blocked and kicked by Thanos during Mingle, before being shot due to not finding a door in time."
Player 360,Male,Dead,https://squid-game.fandom.com/wiki/Player_360_(33rd_Squid_Game),"After being contacted by Squid Game staff, Player 360 decided to join a high-risk competition in order to win large amounts of money. He was picked up and sedated and taken to the island where the games take place. After waking up in a large room in the Squid Game complex with 455 other people, Player 360 signed a consent form and had his photo taken before to the first game."
Park Mi-yeong,Female,Alive,https://squid-game.fandom.com/wiki/Park_Mi-yeong,"On September 1, [ 1 ] Park Mi-yeong, who was heavily pregnant, went to a gynecologist alongside her unnamed partner for a checkup regarding her pregnancy. She was scheduled soon after Kim Jun-hee , who was heavily in debt. When Jun-hee abruptly left before her appointment, the receptionist skipped to Mi-yeong."
Kim Sang-hyuk,Male,Alive,https://squid-game.fandom.com/wiki/Kim_Sang-hyuk,"When Seong Gi-hun arrives at the police station and claims he had been abducted by several people and forced to play games, which if they lost, they would die, Sang-hyuk and his colleagues Kim Jin-woo and Hwang Jun-ho do not believe him. When he provides them with a phone number which Sang-hyuk calls, a woman answers, appearing to have no connection with anything that Gi-hun claims. After this, Gi-hun is thrown out of the station. He saw Gi-hun fighting with the other officer because he was kicked out of the station."
Player 296,Male,Alive,https://squid-game.fandom.com/wiki/Player_296_(2024),"Player 296 was in debt and decided to join the 2024 Squid Games,He'd survive Red Light,Green Light and vote O during the first vote, he forged a team with player 235,276 and 2 other players during the Six-Legged-Pentathlon,He survived Six-Legged-Pentathlon and voted O again,He survived Mingle and voted O in the 3rd vote. after realising the X had the majority of the players,During the Special Game ,he and a group of O members decided to attack X members, in which he kills player 102 by stabbing him to death with a fork, after the special game,gi hun and other X members started a rebellion,047 was about to shoot him but 456 Saved him by saying ""He'll be no different then those masked men"",He is currently alive and will be participating in the 4th game in Season 3."
Player 274 (2024),Male,Dead,https://squid-game.fandom.com/wiki/Player_274_(2024),"Was one of the nominees for being an Iconee, was disproven. Is a technicality error-eliminated from RLGL internal scare."
Player 017,Male,Dead,https://squid-game.fandom.com/wiki/Player_017_(2024),"Voting Round 1 Round 2 ✕ ✕ Player 017 was in large debt and decided to join the Squid Games . He woke up in a Dormitory along with 455 other players, he then proceeded sign a contrast and take his photo. He survived the first game, Red Light, Green Light , and was shocked from the deaths of the players, which resulted in him voting for X . He managed to survive the 2nd game, Six-Legged Pentathlon , and voted for X like he did before."
Sea Captain Ko,Male,Alive,https://squid-game.fandom.com/wiki/Sea_Captain_Ko,Ko is the leader of team 2 in the group trying to find where the games are located Sunshine Capital . Captain Ko appears to have known Captain Park for a quite a while and is a good friend of his.
Player 366,Male,Dead,https://squid-game.fandom.com/wiki/Player_366_(2024),"Player 366 was presumably in massive debt and decided to enter the games to win money. He managed to survive the first game, Red Light, Green Light , and stayed in the game when a narrow majority of the players voted to continue."
Player 309 (2024),Male,Dead,https://squid-game.fandom.com/wiki/Player_309_(2024),"Player 309 was in heavy debt and decided to join the Squid Games , He made it past Red Light, Green Light and Six-Legged-Pentahlon and voted X in the Second Round of Voting"
Choi Woo-seok,Male,Alive,https://squid-game.fandom.com/wiki/Choi_Woo-seok,"When Woo-seok was young, he was scammed and lost his entire savings. He found the scammer and beat him up, only for the police to arrest him and demand him to pay his scammer a settlement. Years later, Woo-seok got married to an unnamed woman, with his friend and boss Kim Jeong-rae officiating his wedding."
Player 192,Male,Alive,https://squid-game.fandom.com/wiki/Player_192_(2024),"He participated in the Squid Game due to debt problems. On the first day, he woke up in the dormitory with 455 other players. Later, he took part in the Red Light，Green light , game. He survived by luck in this game. Before the vote in the second game, he voted for O. Then he participated in the second game and also survived. In the vote before the third game, he still voted for O. Later, he participated in the mingle game, and although the mingle"
Do Jung-soo,Male,Dead,https://squid-game.fandom.com/wiki/Do_Jung-soo,"Do Jung-soo was born on June 23, 1965 in Gyeonggi Province , South Korea. He began attending Bucheon Industrial High School in 1981, later graduating in 1984. [ 1 ] He briefly worked a position in construction management before getting a job at a glass factory in 1987, where he continued to work for the next 33 years."
Player 123,Male,Dead,https://squid-game.fandom.com/wiki/Player_123_(2024),"Player 123 joined the Squid Games and then woke up on a room with 455 other people, he participated on the first game Red Light, Green Light , in the first vote, he chose to vote O and continue the games, on the Six-Legged Pentathlon , he entered a team with Player 448 (2024) and some others. he is seen playing Jegi and got through it first try, since their team ended the Penthalon with a lot of time left on the clock, on the second vote, he voted O again, In Mingle at the last round he couldn't get in a room in time."
Park Ju-un,Male,Dead,https://squid-game.fandom.com/wiki/Park_Ju-un,"Park Ju-un was ₩900 million in debt and chose to enter a high-risk competition to win money, being picked up and sedated by Squid Game staff and taken to the island where the games take place. When the staff projected footage of players playing ddakji and being recruited to the games, he was among those whose name and debt amount were read aloud to the crowd."
Park Min-su,Male,Alive,https://squid-game.fandom.com/wiki/Park_Min-su,"Min-su was a victim of a rental scam, leading to immense amounts of debt he could not sustain. At some point he was approached by The Recruiter and invited to join the 2024 Squid Game ."
Player 031,Male,Dead,https://squid-game.fandom.com/wiki/Player_031_(33rd_Squid_Game),"Player 031 was in heavy debt and chose to enter the Squid Games to win large amounts money. He was picked up and sedated by Squid Game staff and taken to the island where the games take place. He is one of several players who are seen being monitored in the Squid Game control room as they wake up. When Jang Deok-su encountered Kang Sae-byeok in the Squid Game lobby , Player 031 was one of the players who witnessed the fight between them."
Player 040,Male,Dead,https://squid-game.fandom.com/wiki/Player_040_(33rd_Squid_Game),"Player 040 enters the deadly competition due to heavy debt. Like many participants, he hopes to win the substantial cash prize to turn his life around. Player 040 wakes up in a large room with 455 other contestants. He witnesses the chaotic atmosphere, including a fight between Jang Deok-su and Kang Sae-byeok , which sets the tone for the intense dynamics among players. After the fight is broken up, he was welcomed by the staff . After that, he signs a contract agreeing to the rules of the game and has his photo taken."
Player 254 (33rd Squid Game),Male,Alive,https://squid-game.fandom.com/wiki/Player_254_(33rd_Squid_Game),"Player 254 was in a lot of debt and joined the squid games cause of this. He woke up in a bed and at 1st he we confused but once he saw the piggy bank, he wanted to play. He signed a contract,took his photo and went to where red light green light happens. He was shaken after seeing 3 people die but did not run to the doors. After the chaos he made progress and completed the 1st round. Player 254 like almost everyone else was shaken after seeing so many people die and despite the money he voted X, the proof is he was celebrating after Oh il nam voted X and he isn't shown voting."
Player 128,Female,Dead,https://squid-game.fandom.com/wiki/Player_128_(2024),Player 128 is a middle aged woman with a brown ponytail. Nothing much is known about player 128 besides her financial problems. She was recruited to join the Squid Games because of her financial struggles. She is seen a couple times throughout the show
Player 016,Male,Dead,https://squid-game.fandom.com/wiki/Player_016_(33rd_Squid_Game),"Player 016 was in heavy debt and chose to enter a high-risk competition to win money. After waking up in a large room with 455 other people, he signed a contract and took his photo. He managed to survive the first game, Red Light, Green Light , after most of the contestants had been wiped out. Afterwards, like everyone else, he was shaken by the deaths of the contestants, when the prize money was finally revealed. A vote was held if the game should continue, and the majority voted no. However, those who were willing to return could, and he returned along with 186 other players, subsequently surviving Sugar Honeycombs , as well as the Special Game that occurred between games. In the third game, he joined Team Eight and won."
Player 334 (2024),Female,Alive,https://squid-game.fandom.com/wiki/Player_334_(2024),"Player 334 joined the 2024 Squid Game to help atone for her massive amount of debt. After waking up in a room with 455 other players, she signed the player consent form and took her picture, officially getting her into the deadly games."
Player 159,Male,Dead,https://squid-game.fandom.com/wiki/Player_159_(2024),"Player 159 was in heavy debt and so decided to participate in the 36th Squid Game . After being recruited to the island and waking up in a room with 455 other strangers, the Pink Guards gave him and the other 455 other people a warm welcome. After signing the updated agreement form, he was taken to the first game, Red Light, Green Light . During the game, Player 262 was one of the players who panicked and ran to the doors following the death of Kang Mi-na , leading to him getting shot by the snipers."
Ha Sun-young,Female,Alive,https://squid-game.fandom.com/wiki/Ha_Sun-young,"After winning ₩4.56 million on a correct bet, Seong Gi-hun tips her and tells her to get an americano. After being pickpocketed and beaten up , he comes back to the racetrack as it is closing to ask her for the money back."
Player 240 (2024),Female,Dead,https://squid-game.fandom.com/wiki/Player_240_(2024),"In 2024, she was given an option to play ddakji with The Recruiter for money. She received a business card and was taken to the games, after surviving Red Light, Green Light she voted to continue the games and celebrated the continuation of the games with Im Jeong-dae , she completed all the games up to Mingle. In this game she was eliminated."
Sea Captain Park,Male,Alive,https://squid-game.fandom.com/wiki/Sea_Captain_Park,"Hwang Jun-ho initially believed Captain Park saved his life after he was shot by the Front Man—who was later revealed to be his brother—and fell from a cliff into the sea. However, Park was either instructed or hired by Hwang In-ho to rescue Jun-ho and to keep an eye on him."
Banker,Male,Alive,https://squid-game.fandom.com/wiki/Banker,"In 2021, the banker asked Seong Gi-hun to meet up at the bank to discuss Gi-hun's fortune that he barely touched. He has an employee bring him a complimentary drink, which he says is ""reserved for VIPs like him"", and tries to convince him to invest his money, which is currently in a standard saving account and collecting very little money."
Player 103,Male,Dead,https://squid-game.fandom.com/wiki/Player_103_(2024),"Player 103, like many other contestants, joined the 2024 Squid Game to help atone for his debt. After him and 455 other contestants signed the player consent form, they were officially in the game. In Red Light, Green Light , Player 103 most likely ran during the initial panic, and was shot and killed for moving. His icon could also be seen being dimmed."
Masked Officer,Male,Alive,https://squid-game.fandom.com/wiki/Masked_Officer,"The Officer was (presumably) one of the Managers in 2020 during the 33rd Squid Game . He told Kang No-eul , "" Last time, we had a player do the surgeries, in exchange for information about the games they were going to play. "" the player mentioned by him being Byeong-gi from the 33rd Squid Game . This conversation implies that The Officer was somehow involved in the Games during 2020. However, it is not yet confirmed whether he was already an Officer at that time or if he was promoted later for some unknown reason."
Player 443,Male,Alive,https://squid-game.fandom.com/wiki/Player_443_(2024),"Player 443 was in large debt and decided to join the Squid Games . He woke up in a Dormitory along with 455 other players, he then proceeded sign a contract and take his photo. He survived the first game, Red Light, Green Light , his vote is unknown. He managed to survive the 2nd game, Six-Legged Pentathlon , and voted O [ 1 ] . He also survived Mingle and voted O again. During the Special Game , he can be seen sneaking over to the X’s side. He could possibly kill a player."
Ali Abdul's wife,Female,Alive,https://squid-game.fandom.com/wiki/Ali_Abdul%27s_wife,"Ali's wife was born in Pakistan, where she lived and married to a man named Ali Abdul . Together, they had a son, and soon after, they decided to migrate to South Korea in hopes of better living conditions and quality of life. When they arrived, she would take care of their son in the shack where they lived, while Ali worked at a factory. However, Ali was not able to earn much money, due to the greed of his boss ."
Player 290 (2024),Male,Dead,https://squid-game.fandom.com/wiki/Player_290_(2024),"Player 290 was in heavy debt and so decided to participate in the 36th Squid Game . After being recruited to the island and waking up in a room with 455 other strangers, the Pink Guards gave him and the other 454 other people a warm welcome. After signing the updated agreement form, he was taken to the first game, Red Light, Green Light . During the game, Player 290 was one of the players who panicked and ran to the doors following the death of Kang Mi-na , leading to him getting shot by the snipers."
Player 250,Male,Dead,https://squid-game.fandom.com/wiki/Player_250_(33rd_Squid_Game),"Player 250 chose to enter the Squid Game to win money along with the other contestants. While taking his contestant picture, the person in front of him, Player 324, attempted to retake his photo after being unsatisfied with the one he got, so he pushed him away in order to take his own photo."
Park Na-yeon,Female,Alive,https://squid-game.fandom.com/wiki/Park_Na-yeon,"Na-yeon spends a lot of time in an amusement park, where Gyeong-seok works as a painter in order to make ends meet. Due to her recurring cancer, she spends lots of time in the hospital receiving treatment as well. She is in need of a bone marrow transplant."
Player 056,Male,Dead,https://squid-game.fandom.com/wiki/Player_056_(2024),"Player 056 was heavily in debt and decided to participate in the 2024 Squid Game . A little later, he signed a contract and took a picture and went to the first game. After Kang Mi-na moved, he did not panic and survived the initial chaos. Next, he lined up behind several players on Gi-hun 's advice and completed the first game. After the first game, he, like everyone else, was shocked by the deaths of other players, and after the manager announced the prize, he voted for the continuation of the games. In the second game, he teamed up with unknown people and went through an unknown mini-game, but he still survived the second challenge. After the second vote, he also wanted to continue playing the games. In the third game, he also survived. After the third vote, he wanted to continue playing again. He was present in the bathroom when Thanos and Nam-gyu tried to convince Min-su to vote for the continuation of the games, but Myung-gi noticed this and defended Min-su, later Myung-gi said that Thanos and Nam-gyu threatened Min-su, but Thanos also convenes circles. Including player 056, he stood and watched as Thanos, Nam-gyu, and Myung-gi argued over Min-su. When a fight starts, he is shocked at first, but then gets into a fight with Player 102 , where he pushes him into a toilet stall and kicks him until the end of the fight. When Thanos strangles Myung-gi, he is seen kicking 102 and 401 's corpse is seen in the background. Before lights out, he did not form an alliance with player Im Jeong-dae , but he attacked the crosses along with everyone else. He starts fighting with 067 and throws him down the stairs, then catches him and stabs him to death with a bottle."
Player 056,Female,Dead,https://squid-game.fandom.com/wiki/Player_056_(33rd_Squid_Game),"Player 056 was in heavy debt and entered the squid game cause of this. She woke up in a bed and at 1st he was confused but once she saw the piggy bank, she wanted to play. She then signed her contract, took her photo and then taken to where red light green light happens She was shaken after seeing 3 people die but did not run to the doors and  made some progress. She managed to make some progress into the game."
Player 442 (2024),Male,Alive,https://squid-game.fandom.com/wiki/Player_442_(2024),"Like other participants, he got into debt and went to the games, he survived Red Light, Green Light and Six-Legged Pentathlon and voted to continue the games at least after the second game [ 1 ] ."
Lee Myung-gi,Male,Alive,https://squid-game.fandom.com/wiki/Lee_Myung-gi,"Formerly a popular YouTuber, and cryptocurrency trader, Lee Myung-gi ran a channel called ""MG Coin,"" where he advised his followers on cryptocurrency investing. He had also been dating a woman named Kim Jun-hee , who got pregnant sometime in early 2024."
Player 332 (33rd Squid Game),Male,Dead,https://squid-game.fandom.com/wiki/Player_332_(33rd_Squid_Game),"Player 332 was in heavy debt and chose to enter a high-risk competition to win money. After waking up in a large room with 455 other people, he signed a contract and took his photo. He managed to survive the first game, Red Light Green Light , after most of the contestants had been wiped out. Afterwards, like everyone else, he was shaken by the deaths of the contestants, when the prize money was finally revealed. A vote was held if the game should continue, and the majority voted no. However, those who were willing to return could, and he returned, along with most of the other players. He then chose an unknown shape in Sugar Honeycombs ."
Kim Yun-tae,Male,Alive,https://squid-game.fandom.com/wiki/Kim_Yun-tae,Kim Yun-Tae was in heavy debt so he decided to join the Squid Games .
Player 154,Male,Alive,https://squid-game.fandom.com/wiki/Player_154_(2024),"Player 154 was in hefty crippling debt before joining the games, he was approached by a salesman and played Ddakji with him, after losing a few rounds he was given a card to join the games. After joining he woke up in a room with 455 other participants of the Squid Game he signed a contract and took his photo for the games. The first game was Red Light, Green Light which he successfully passed due to a warning and advice from a former player Seong Gi-hun . When given the choice to vote to finish or continue the games he voted to continue , the vote ended with 182 players voting to leave and 183 players voting to continue due to the majority voting to stay the games continued."
Player 105,Male,Dead,https://squid-game.fandom.com/wiki/Player_105_(33rd_Squid_Game),"Player 105 was in heavy debts, so he decided to enter the games to pay it off. He woke up in a room with 455 other players, he signed his contract and took his photo. After that, he was led to the first game, Red Light, Green Light . After passing the game, a vote was held and the majority voted to leave, after being sent back for a few weeks, he returned along with 186 others and was led to Sugar Honeycombs in which he also passed. Player 105 also survived in the Special Game that took place prior to Tug of War . While choosing for a team, Player 105 and 9 others formed Team 2."
Player 196,Male,Dead,https://squid-game.fandom.com/wiki/Player_196_(33rd_Squid_Game),"Player 196 was in heavy debt and chose to enter a high-risk competition to win money. After waking up in a large room with 455 other people, he signed a contract and took his photo. He managed to survive the first game, Red Light Green Light , after most of the contestants had been wiped out. Afterwards, like everyone else, he was shaken by the deaths of the contestants, when the prize money was finally revealed. A vote was held if the game should continue, and the majority voted no. However, those who were willing to return could, and he returned, along with most of the other players."
Player 197,Male,Alive,https://squid-game.fandom.com/wiki/Player_197_(2024),"Player 197 was in heavy debt and decided to enter the Squid Games , he woke up in the Dormitory and went through Red Light, Green Light , crossing the finish line and proceeding to survive the first game, 197 can be seen for the first time after Kang Mi-na's (Player 196) death, appearing on the panel on the right to her. On the first vote, he voted X, to stop the games. On Six-Legged Pentathlon , he joined a team with Park Gyeong-seok (Player 246), Sim Jae-seok (Player 343), Player 140 and Player 009 , he played Jegi and succesfully completed it, getting the team to victory, he can be seen celebrating at the finish line, alongside his team, on the second vote, 197 voted X again, still wanting to stop the games, he can't be seen during Mingle but its certain that he got through it since we can see him on the third vote, in which he voted X once again, he also appears on the X team count next to Park Jung-bae (Player 390). In the Special Game , 197 got attacked by a Team O attacker, he counterattacked quickly and knocked him on the ground, he didn't kill him whatsoever, instead running to flee the battle. After that, he saw Player 056 stabbing Player 067 , right after, he took action and strangled 056, to avenge his friend, 067. 197 survived the Special Game, and can be seen after the Special Game, he didn't participate in Gi-hun's Revolt and is playing on the next game on Season 3"
Player 027,Male,Dead,https://squid-game.fandom.com/wiki/Player_027_(33rd_Squid_Game),"Player 027 was in a heavy debt and chose to enter a high risk competition to win money. After waking up in a large room with 455 other people, he signed a contract and took his photo. He managed to survive Red Light, Green Light . He then managed to survive Sugar Honeycombs and the Special Game ."
Player 101,Male,Dead,https://squid-game.fandom.com/wiki/Player_101_(2024),Player 101 was a Player of the Squid Game in 2024 . He was voting X everytime. He was eliminated in Mingle. Voting Round 1 Round 2 ✕ ✕
Player 048,Male,Alive,https://squid-game.fandom.com/wiki/Player_048_(2024),"Player 048 was in large debt and decided to join the Squid Games . He woke up in a Dormitory along with 455 other players, he then proceeded sign a contract and take his photo. He survived the first game, Red Light, Green Light , and voted to continue the games. He managed to survive the 2nd game, Six-Legged Pentathlon , and voted to continue, like he did before. He also survived Mingle , and voted O for the third time."
