History,Status
"A VIP demanded a live demo, and Player_2523 was selected.",Dead
"Though surrounded during the night attack, Player_5136 wasn’t targeted.",Alive
"After discovering a guard’s identity, Player_5136 was silenced.",Dead
"Following her early withdrawal, Player_1820 returned to her neighborhood and faded from public record.",Alive
"After surviving five rounds, Player_1820 finally lost during the last challenge.",Dead
"When the guards called for volunteers, Player_5236 declined and wasn’t picked again.",Alive
A rigged game caused Player_5236 to lose unfairly.,Dead
Player_2983 blended in with an eliminated group and exited undetected.,Alive
"After a failed strategy, Player_2983 wasn't included in the post-game summary.",Dead
"Though fragile, Player_7202 was always assigned easier roles in team games and survived.",Alive
"After a misstep during the game, Player_7202 was not included in the next team formation.",Dead
Guards mistook Player_9397 as already eliminated due to wrong ID tag.,Alive
The wrong answer in a trivia game meant Player_9397's elimination.,Dead
The night fights were skipped in Player_6495's group due to malfunctioning lights.,Alive
Player_6495 got into a heated fight and was fatally wounded.,Dead
"Several players jumped ahead, and Player_2124 passed unnoticed in the confusion.",Alive
"Despite helping others, Player_2124 was betrayed and eliminated.",Dead
"On medical leave after the second game, Player_4013 was never reintroduced.",Alive
Player_4013 failed to appear at breakfast the day after the fifth round.,Dead
Guards let Player_3286 go after finding a letter from their child.,Alive
"Following the incident, Player_3286 was not called for the next briefing.",Dead
Player_3779 managed to avoid confrontation and was quietly removed from the group.,Alive
"During the VIP visit, Player_3779 was chosen for demonstration and died.",Dead
Player_2610 struck a deal with guards to be let out quietly.,Alive
Player_2610 misread the game instructions and was immediately disqualified.,Dead
Player_3305 managed to avoid confrontation and was quietly removed from the group.,Alive
"Despite helping others, Player_3305 was betrayed and eliminated.",Dead
Player_5972 blended in with an eliminated group and exited undetected.,Alive
"Following the incident, Player_5972 was not called for the next briefing.",Dead
Player_2905 exited the compound after the initial vote and never returned.,Alive
"While defending another, Player_2905 took a fatal blow.",Dead
The guards mistook Player_4510 for an admin during a uniform swap.,Alive
"A player with Player_4510's number was called, but no one responded.",Dead
"After the second round, Player_2828 was found unconscious but alive in a corner.",Alive
"An elderly contestant, Player_2828 simply couldn’t keep up physically.",Dead
Player_8328 left the game facility after the first round and was never contacted again.,Alive
"After discovering a guard’s identity, Player_8328 was silenced.",Dead
Player_4469 was cautious and kept a low profile throughout the early rounds.,Alive
Player_4469 suffered a breakdown mid-game and couldn’t continue.,Dead
"As the crowd rushed the doors, Player_1083 waited and avoided the stampede.",Alive
"While trying to help someone else, Player_1083 was hit by a stray bullet.",Dead
Guard turnover led to confusion that allowed Player_5191 to slip out.,Alive
Guards opened fire when Player_5191 attempted to flee.,Dead
Player_7527 had a brother among the guards and was quietly removed from the trials.,Alive
"After provoking another player, Player_7527 was fatally attacked.",Dead
Player_7978 intentionally lost a game but was saved by a sympathetic opponent.,Alive
"Uncooperative during interrogation, Player_7978 never returned.",Dead
"When the guards called for volunteers, Player_7112 declined and wasn’t picked again.",Alive
One wrong move in a puzzle game cost Player_7112 their life.,Dead
"While everyone else panicked, Player_8083 calmly followed instructions and survived unnoticed.",Alive
Player_8083 failed to complete the honeycomb challenge in time and was shot.,Dead
Player_2970 collapsed from hunger but recovered in isolation.,Alive
"Despite surviving early rounds, Player_2970 collapsed from exhaustion and never recovered.",Dead
"Although he advanced past the first stage, Player_7556 did not appear in subsequent rounds.",Alive
"While defending another, Player_7556 took a fatal blow.",Dead
Player_8267 was exempted from the game due to age and health review.,Alive
"Despite reaching the final round, Player_8267 succumbed to injuries.",Dead
"With no violation or conflict, Player_1838 quietly walked away during the reentry phase.",Alive
"After being seen arguing during the night shift, Player_1838 was never spotted again.",Dead
"While the dorm fight raged, Player_9974 barricaded themselves under beds.",Alive
Player_9974 sacrificed themselves to let their partner continue.,Dead
"After the honeycomb challenge, Player_7905 traded spots with someone else.",Alive
An explosion during sabotage claimed Player_7905's life.,Dead
Player_2309 was locked in a storage area by accident and missed a fatal challenge.,Alive
"During a team loss, Player_2309 was counted among those who didn’t proceed.",Dead
"Because of a panic attack, Player_8146 was escorted out before the second game began.",Alive
Player_8146 sacrificed themselves to let their partner continue.,Dead
Player_1929 refused food from strangers and avoided poison traps.,Alive
The wrong answer in a trivia game meant Player_1929's elimination.,Dead
"Using leftover uniforms, Player_5126 posed as a cook and escaped.",Alive
A loud noise was heard in the corridor just before Player_5126's name was removed from the list.,Dead
Player_9263 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
"Despite surviving physically, Player_9263 was voted out in the final decision.",Dead
Player_8730 was cautious and kept a low profile throughout the early rounds.,Alive
"While trying to smuggle a weapon, Player_8730 was executed.",Dead
"One of the few elders, Player_5453 managed to rest between games, preserving strength.",Alive
"During a misstep in the glass bridge game, Player_5453 fell to their death.",Dead
Rumors suggest Player_6538 boarded one of the black vans heading away from the island.,Alive
Player_6538 was among those grouped near the danger zone when the lights went out.,Dead
"Despite being slow, Player_5622's conservative approach helped them advance steadily.",Alive
"After a misstep during the game, Player_5622 was not included in the next team formation.",Dead
Player_5432 returned to daily life and avoided further attention from the organization.,Alive
"Despite surviving physically, Player_5432 was voted out in the final decision.",Dead
"Though visibly shaken during the games, Player_7160 managed to pass each round quietly.",Alive
"After miscommunication with teammates, Player_7160 was left behind.",Dead
Guards mistook Player_4408 as already eliminated due to wrong ID tag.,Alive
"After a misstep during the game, Player_4408 was not included in the next team formation.",Dead
"After being offered immunity, Player_1445 provided intel and was never seen in custody again.",Alive
A loud noise was heard in the corridor just before Player_1445's name was removed from the list.,Dead
Player_3657 exited the compound after the initial vote and never returned.,Alive
"After miscommunication with teammates, Player_3657 was left behind.",Dead
"Despite the harsh conditions, Player_8165 found ways to avoid direct confrontation.",Alive
Security footage showed Player_8165 attempting something risky near the edge of the platform.,Dead
Player_9485 left the game facility after the first round and was never contacted again.,Alive
The marble game ended with Player_9485 losing and being shot.,Dead
"Following her early withdrawal, Player_3322 returned to her neighborhood and faded from public record.",Alive
"After surviving five rounds, Player_3322 finally lost during the last challenge.",Dead
"During the VIP visit, Player_4825 was mistakenly moved to a holding area.",Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_4825.",Dead
Guards mistook Player_7791 as already eliminated due to wrong ID tag.,Alive
"Despite strategic play, Player_7791 made one fatal error.",Dead
"Following a minor injury, Player_7107 was transported and never reintroduced to the arena.",Alive
A misstep while running cost Player_7107 the game and their life.,Dead
"Known for their quick reflexes, Player_9414 managed to survive the more dangerous challenges.",Alive
"After being blamed for a sabotage, Player_9414 was voted out and eliminated.",Dead
Player_8783 had an injured leg but was removed from the game before it escalated.,Alive
A rigged game caused Player_8783 to lose unfairly.,Dead
The guards mistook Player_6355 for an admin during a uniform swap.,Alive
"In the lights-out chaos, Player_6355 couldn't find a safe spot.",Dead
Player_5317 refused food from strangers and avoided poison traps.,Alive
"After provoking another player, Player_5317 was fatally attacked.",Dead
"During the VIP visit, Player_1323 was mistakenly moved to a holding area.",Alive
A failed escape led to Player_1323 being publicly executed.,Dead
Player_9270 pretended to faint and was taken out for medical evaluation.,Alive
"During a confrontation, the guards intervened and Player_9270 was not seen afterward.",Dead
Player_1959 returned to daily life and avoided further attention from the organization.,Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_1959.",Dead
"While everyone else panicked, Player_9042 calmly followed instructions and survived unnoticed.",Alive
"After being blamed for a sabotage, Player_9042 was voted out and eliminated.",Dead
Player_5283 left the facility before the final round was announced.,Alive
"Despite helping others, Player_5283 was betrayed and eliminated.",Dead
"During the first game, Player_4175 stood still for most of it, avoiding detection.",Alive
"Despite reaching the final round, Player_4175 succumbed to injuries.",Dead
"During voting rounds, Player_7152 consistently sided with those who wanted to leave.",Alive
Medical staff couldn’t reach Player_7152 in time after a critical injury.,Dead
A staff report notes Player_8278 was considered non-threatening and let go under supervision.,Alive
Player_8278 was not present at the roll call following the marble game.,Dead
"Despite being slow, Player_7301's conservative approach helped them advance steadily.",Alive
Player_7301 hesitated too long and was disqualified.,Dead
"Despite being slow, Player_9333's conservative approach helped them advance steadily.",Alive
Player_9333 was deemed unfit and removed during a mid-game assessment.,Dead
"A teammate of Player_6588 faked injury, allowing both to escape in the confusion.",Alive
"After being blamed for a sabotage, Player_6588 was voted out and eliminated.",Dead
"After being offered immunity, Player_6637 provided intel and was never seen in custody again.",Alive
"Despite helping others, Player_6637 was betrayed and eliminated.",Dead
Player_4916 exited the compound after the initial vote and never returned.,Alive
"After yelling at a guard, Player_4916 was dragged away and not seen again.",Dead
Player_6045 helped staff carry trays and stayed away from their group.,Alive
"Though she was among the stronger players, Player_6045 did not return from the challenge.",Dead
Player_1990 stayed close to walls and avoided the center of chaos.,Alive
"Player_1990's name was displayed briefly on the screen, followed by a red mark.",Dead
Player_2672 remained unregistered and was escorted out without harm.,Alive
"A player with Player_2672's number was called, but no one responded.",Dead
"Despite being scheduled for the next round, Player_6778 was absent when it began.",Alive
A report from the control room listed Player_6778 as inactive following game three.,Dead
Guards marked Player_1145 as inactive for the second phase and redirected him to offsite processing.,Alive
"Player_1145's name was displayed briefly on the screen, followed by a red mark.",Dead
Player_8454 maintained a low profile throughout and avoided attracting any attention.,Alive
"Despite reaching the final round, Player_8454 succumbed to injuries.",Dead
Player_9262 became uncooperative after the first challenge and was escorted out by staff.,Alive
Medical staff couldn’t reach Player_9262 in time after a critical injury.,Dead
Player_9911 allied with someone who later sacrificed themselves so Player_9911 could continue.,Alive
A miscalculated jump caused Player_9911 to fall short in a challenge.,Dead
"Using leftover uniforms, Player_9888 posed as a cook and escaped.",Alive
Player_9888 was shot during group punishment for breaking the rules.,Dead
Player_9062 returned to daily life and avoided further attention from the organization.,Alive
Player_9062 was deemed unfit and removed during a mid-game assessment.,Dead
The night fights were skipped in Player_7430's group due to malfunctioning lights.,Alive
A report from the control room listed Player_7430 as inactive following game three.,Dead
Player_9241 collapsed from hunger but recovered in isolation.,Alive
A loud noise was heard in the corridor just before Player_9241's name was removed from the list.,Dead
Player_4105 stayed close to walls and avoided the center of chaos.,Alive
Player_4105 sacrificed themselves to let their partner continue.,Dead
Player_9876 spent most of the time sleeping and missed key danger zones.,Alive
A critical error during Mingle caused Player_9876 to be removed.,Dead
"After cooperating with the guards during an investigation, Player_9760 was no longer seen among the active players.",Alive
Player_9760 was among those grouped near the danger zone when the lights went out.,Dead
"Several players jumped ahead, and Player_7696 passed unnoticed in the confusion.",Alive
A misstep while running cost Player_7696 the game and their life.,Dead
Player_8007 was exempted from the game due to age and health review.,Alive
A failed escape led to Player_8007 being publicly executed.,Dead
"On medical leave after the second game, Player_1233 was never reintroduced.",Alive
Player_1233 was deemed unfit and removed during a mid-game assessment.,Dead
Player_3218 used earplugs during lights out to stay calm and awake.,Alive
A rigged game caused Player_3218 to lose unfairly.,Dead
"Though surrounded during the night attack, Player_7034 wasn’t targeted.",Alive
Player_7034 failed to appear at breakfast the day after the fifth round.,Dead
Player_6857 was mistakenly identified as a staff member and never reentered the competition.,Alive
A report from the control room listed Player_6857 as inactive following game three.,Dead
"Following her early withdrawal, Player_7076 returned to her neighborhood and faded from public record.",Alive
Guards gave Player_7076 one warning before executing.,Dead
Player_3191 was mistakenly identified as a staff member and never reentered the competition.,Alive
"Despite fighting back, Player_3191 couldn’t survive the ambush.",Dead
A ventilation error kept Player_9627 in quarantine while others proceeded.,Alive
"During a team loss, Player_9627 was counted among those who didn’t proceed.",Dead
"Though fragile, Player_9217 was always assigned easier roles in team games and survived.",Alive
"Following the incident, Player_9217 was not called for the next briefing.",Dead
Player_2029 returned to daily life and avoided further attention from the organization.,Alive
Security footage showed Player_2029 breaking rules and they were removed.,Dead
"Although he advanced past the first stage, Player_6912 did not appear in subsequent rounds.",Alive
Guards opened fire when Player_6912 attempted to flee.,Dead
Player_5909 complied with the exit protocol and signed the voluntary release form.,Alive
Player_5909 misread the game instructions and was immediately disqualified.,Dead
Player_7928 stayed behind in the break room during a fatal round.,Alive
Player_7928 was not present at the roll call following the marble game.,Dead
Player_2263 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"Uncooperative during interrogation, Player_2263 never returned.",Dead
The night fights were skipped in Player_4786's group due to malfunctioning lights.,Alive
Player_4786 was deemed unfit and removed during a mid-game assessment.,Dead
"Known for their quick reflexes, Player_4845 managed to survive the more dangerous challenges.",Alive
"While defending another, Player_4845 took a fatal blow.",Dead
Player_1279 had a background in meditation and stayed mentally composed through each challenge.,Alive
"While others moved forward, Player_1279 stayed still and never reappeared.",Dead
"A teammate of Player_2389 faked injury, allowing both to escape in the confusion.",Alive
Player_2389 was shot during group punishment for breaking the rules.,Dead
Player_9762 was locked in a storage area by accident and missed a fatal challenge.,Alive
A report from the control room listed Player_9762 as inactive following game three.,Dead
A ventilation error kept Player_9573 in quarantine while others proceeded.,Alive
"When questioned, Player_9573 lied to staff and faced elimination.",Dead
Player_4733 left the facility before the final round was announced.,Alive
Player_4733 tried to impersonate a staff member and was exposed.,Dead
"Following her early withdrawal, Player_2318 returned to her neighborhood and faded from public record.",Alive
Others reported seeing Player_2318 hesitate mid-way through the path. He didn't continue.,Dead
Guards marked Player_3307 as inactive for the second phase and redirected him to offsite processing.,Alive
"While others moved forward, Player_3307 stayed still and never reappeared.",Dead
There was no record of Player_7526 in the elimination logs — only that he signed the opt-out form.,Alive
"When questioned, Player_7526 lied to staff and faced elimination.",Dead
The night fights were skipped in Player_2227's group due to malfunctioning lights.,Alive
Player_2227 was the victim of a misfire during a chaotic moment.,Dead
A ventilation error kept Player_2949 in quarantine while others proceeded.,Alive
"After a failed strategy, Player_2949 wasn't included in the post-game summary.",Dead
A staff report notes Player_7713 was considered non-threatening and let go under supervision.,Alive
"During a team loss, Player_7713 was counted among those who didn’t proceed.",Dead
Guards mistook Player_8212 as already eliminated due to wrong ID tag.,Alive
"Uncooperative during interrogation, Player_8212 never returned.",Dead
"Due to a clerical error, Player_1304 was removed from the participant list before Round 2.",Alive
Player_1304 was used to demonstrate a new punishment system.,Dead
"Known for their quick reflexes, Player_4419 managed to survive the more dangerous challenges.",Alive
The wrong answer in a trivia game meant Player_4419's elimination.,Dead
"Despite the harsh conditions, Player_4434 found ways to avoid direct confrontation.",Alive
"When the lights flickered, Player_4434 was already gone.",Dead
Rumors suggest Player_5149 boarded one of the black vans heading away from the island.,Alive
The marble game ended with Player_5149 losing and being shot.,Dead
Guards marked Player_2277 as inactive for the second phase and redirected him to offsite processing.,Alive
A secret task failure led to Player_2277's silent removal.,Dead
Player_3277 refused food from strangers and avoided poison traps.,Alive
"Despite surviving physically, Player_3277 was voted out in the final decision.",Dead
"During voting rounds, Player_4640 consistently sided with those who wanted to leave.",Alive
"Despite reaching the final round, Player_4640 succumbed to injuries.",Dead
Player_7431 managed to sneak out of the dorm after overhearing the next game.,Alive
Others reported seeing Player_7431 hesitate mid-way through the path. He didn't continue.,Dead
Guards let Player_6103 go after finding a letter from their child.,Alive
"During a team challenge, Player_6103 was outmatched physically.",Dead
"With good social skills, Player_7369 avoided alliances and drama entirely.",Alive
Player_7369 was the last to cross but never made it to the finish line.,Dead
"Though fragile, Player_3794 was always assigned easier roles in team games and survived.",Alive
A close-range duel resulted in Player_3794's death.,Dead
Player_7252 never made it into the actual facility after missing the transport.,Alive
"After being blamed for a sabotage, Player_7252 was voted out and eliminated.",Dead
"The final challenge had an odd number, and Player_4091 was benched.",Alive
"When questioned, Player_4091 lied to staff and faced elimination.",Dead
Player_7568 was moved to the infirmary and wasn’t seen again among the players.,Alive
An injury from a previous round led to Player_7568 collapsing fatally.,Dead
Player_2982 stayed behind in the break room during a fatal round.,Alive
"Despite fighting back, Player_2982 couldn’t survive the ambush.",Dead
"Player_7106 was among those who always stayed in the middle of the crowd, rarely drawing notice.",Alive
Guards opened fire when Player_7106 attempted to flee.,Dead
A team swap accidentally put Player_7402 in a safer group.,Alive
"After violating protocol, Player_7402's number was never used again.",Dead
Player_9224 exited the compound after the initial vote and never returned.,Alive
"There were no formal announcements, but Player_9224's bed was cleared that night.",Dead
"Despite being slow, Player_9526's conservative approach helped them advance steadily.",Alive
Player_9526 failed to complete the honeycomb challenge in time and was shot.,Dead
A staff report notes Player_1559 was considered non-threatening and let go under supervision.,Alive
"A VIP demanded a live demo, and Player_1559 was selected.",Dead
"Though fragile, Player_3380 was always assigned easier roles in team games and survived.",Alive
"A broken ankle made Player_3380 unable to continue, resulting in removal.",Dead
"Though surrounded during the night attack, Player_7138 wasn’t targeted.",Alive
A rigged game caused Player_7138 to lose unfairly.,Dead
An ally of Player_3830 provided cover during the marble game.,Alive
A rigged game caused Player_3830 to lose unfairly.,Dead
Player_9588 helped staff carry trays and stayed away from their group.,Alive
"Despite strategic play, Player_9588 made one fatal error.",Dead
Player_3997 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"After surviving five rounds, Player_3997 finally lost during the last challenge.",Dead
"After barely passing the first challenge, Player_3965 requested to leave and was let go.",Alive
One wrong move in a puzzle game cost Player_3965 their life.,Dead
"Known for their quick reflexes, Player_4278 managed to survive the more dangerous challenges.",Alive
"Despite surviving physically, Player_4278 was voted out in the final decision.",Dead
"During lights out, Player_6364 hid beneath a bunk and avoided detection.",Alive
Player_6364 was the victim of a misfire during a chaotic moment.,Dead
"Despite the harsh conditions, Player_5984 found ways to avoid direct confrontation.",Alive
A miscalculated jump caused Player_5984 to fall short in a challenge.,Dead
Guards mistook Player_7119 as already eliminated due to wrong ID tag.,Alive
The bridge collapsed under Player_7119 during the crossing game.,Dead
Player_9772 was locked in a storage area by accident and missed a fatal challenge.,Alive
The bridge collapsed under Player_9772 during the crossing game.,Dead
"Despite being slow, Player_2710's conservative approach helped them advance steadily.",Alive
"Despite surviving physically, Player_2710 was voted out in the final decision.",Dead
Player_9312 managed to sneak out of the dorm after overhearing the next game.,Alive
The marble game ended with Player_9312 losing and being shot.,Dead
"When the guards called for volunteers, Player_8464 declined and wasn’t picked again.",Alive
"Despite fighting back, Player_8464 couldn’t survive the ambush.",Dead
"Though terrified, Player_3975 completed tasks without drawing any notice.",Alive
"A player with Player_3975's number was called, but no one responded.",Dead
Player_3884 was locked in a storage area by accident and missed a fatal challenge.,Alive
"Despite strategic play, Player_3884 made one fatal error.",Dead
"Though surrounded during the night attack, Player_1372 wasn’t targeted.",Alive
"There were no formal announcements, but Player_1372's bed was cleared that night.",Dead
Player_4672 used sign language to stay quiet and unnoticed during night fights.,Alive
Guards gave Player_4672 one warning before executing.,Dead
"Though no longer active in the games, Player_3810 was later mentioned in a participant’s testimony.",Alive
"While defending another, Player_3810 took a fatal blow.",Dead
Player_3464 managed to avoid being selected for a partner game and simply wasn’t called again.,Alive
A failed escape led to Player_3464 being publicly executed.,Dead
"A miscommunication led to Player_6571's file being lost, and they were never retrieved.",Alive
Others reported seeing Player_6571 hesitate mid-way through the path. He didn't continue.,Dead
"After being offered immunity, Player_9126 provided intel and was never seen in custody again.",Alive
A miscalculated jump caused Player_9126 to fall short in a challenge.,Dead
"A miscommunication led to Player_1035's file being lost, and they were never retrieved.",Alive
Player_1035 suffered a breakdown mid-game and couldn’t continue.,Dead
"With good social skills, Player_7114 avoided alliances and drama entirely.",Alive
A close-range duel resulted in Player_7114's death.,Dead
"With no violation or conflict, Player_5406 quietly walked away during the reentry phase.",Alive
Security footage showed Player_5406 attempting something risky near the edge of the platform.,Dead
"Though no longer active in the games, Player_7487 was later mentioned in a participant’s testimony.",Alive
Player_7487 refused to play the final game and was removed immediately.,Dead
Player_5960 had a brother among the guards and was quietly removed from the trials.,Alive
"During a misstep in the glass bridge game, Player_5960 fell to their death.",Dead
